Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
Muster SCHWEIZ Substanz;01.01.2025;-0,0000698183;-79,87;0,1168713866;117.993,92;0;EUR
Muster SCHWEIZ Substanz;02.01.2025;0,0063025923;7.209,07;0,1240085293;125.202,99;0;EUR
Muster SCHWEIZ Substanz;03.01.2025;-0,0020013455;-2.303,62;0,1217236154;122.899,37;0;EUR
Muster SCHWEIZ Substanz;04.01.2025;0,0000180140;20,69;0,1217441106;122.920,07;0;EUR
Muster SCHWEIZ Substanz;05.01.2025;0,0000180136;20,69;0,1217646058;122.940,76;0;EUR
Muster SCHWEIZ Substanz;06.01.2025;-0,0007612247;-874,47;0,1208952590;122.066,28;0;EUR
Muster SCHWEIZ Substanz;07.01.2025;0,0004847604;556,46;0,1214431344;122.622,74;0;EUR
Muster SCHWEIZ Substanz;08.01.2025;0,0010792629;1.239,48;0,1226674320;123.862,22;0;EUR
Muster SCHWEIZ Substanz;09.01.2025;0,0018223542;2.095,15;0,1247390648;125.957,38;0;EUR
Muster SCHWEIZ Substanz;10.01.2025;-0,0013777682;-1.586,90;0,1231642596;124.370,48;0;EUR
Muster SCHWEIZ Substanz;11.01.2025;0,0000180190;20,73;0,1231847841;124.391,20;0;EUR
Muster SCHWEIZ Substanz;12.01.2025;0,0000180187;20,73;0,1232053085;124.411,93;0;EUR
Muster SCHWEIZ Substanz;13.01.2025;-0,0036148236;-4.157,93;0,1190845678;120.254,00;0;EUR
Muster SCHWEIZ Substanz;14.01.2025;-0,0015445416;-1.770,18;0,1173285241;118.483,82;0;EUR
Muster SCHWEIZ Substanz;15.01.2025;0,0062802011;7.186,54;0,1244417301;125.670,35;0;EUR
Muster SCHWEIZ Substanz;16.01.2025;0,0044091007;5.077,09;0,1294658086;130.747,45;0;EUR
Muster SCHWEIZ Substanz;17.01.2025;0,0025875665;2.992,73;0,1324257579;133.740,17;0;EUR
Muster SCHWEIZ Substanz;18.01.2025;0,0000178615;20,71;0,1324462660;133.760,88;0;EUR
Muster SCHWEIZ Substanz;19.01.2025;0,0000178612;20,71;0,1324667741;133.781,60;0;EUR
Muster SCHWEIZ Substanz;20.01.2025;-0,0032964358;-3.822,59;0,1286784168;129.959,00;0;EUR
Muster SCHWEIZ Substanz;21.01.2025;0,0013735115;1.587,49;0,1302469038;131.546,50;0;EUR
Muster SCHWEIZ Substanz;22.01.2025;0,0025906811;2.998,40;0,1332122529;134.544,90;0;EUR
Muster SCHWEIZ Substanz;23.01.2025;-0,0017435486;-2.023,17;0,1312057526;132.521,72;0;EUR
Muster SCHWEIZ Substanz;24.01.2025;-0,0027860892;-3.227,28;0,1280072500;129.294,44;0;EUR
Muster SCHWEIZ Substanz;25.01.2025;0,0000178321;20,60;0,1280276433;129.315,04;0;EUR
Muster SCHWEIZ Substanz;26.01.2025;0,0000178318;20,60;0,1280480365;129.335,64;0;EUR
Muster SCHWEIZ Substanz;27.01.2025;-0,0013400781;-1.548,02;0,1265122089;127.787,63;0;EUR
Muster SCHWEIZ Substanz;28.01.2025;0,0032262433;3.721,86;0,1301936141;131.509,48;0;EUR
Muster SCHWEIZ Substanz;29.01.2025;0,0022711623;2.628,51;0,1327924631;134.137,99;0;EUR
Muster SCHWEIZ Substanz;30.01.2025;0,0035976868;4.173,21;0,1369203570;138.311,20;0;EUR
Muster SCHWEIZ Substanz;31.01.2025;0,0024946429;2.904,12;0,1397917602;141.215,33;0;EUR
Muster SCHWEIZ Substanz;01.02.2025;0,0000177063;20,66;0,1398122160;141.235,99;0;EUR
Muster SCHWEIZ Substanz;02.02.2025;0,0000177060;20,66;0,1398326718;141.256,66;0;EUR
Muster SCHWEIZ Substanz;03.02.2025;0,0024727049;2.885,87;0,1426858699;144.142,52;0;EUR
Muster SCHWEIZ Substanz;04.02.2025;-0,0000698245;-81,69;0,1426014397;144.060,83;0;EUR
Muster SCHWEIZ Substanz;05.02.2025;0,0031545614;3.690,50;0,1462509112;147.751,33;0;EUR
Muster SCHWEIZ Substanz;06.02.2025;0,0021815400;2.560,22;0,1487814387;150.311,55;0;EUR
Muster SCHWEIZ Substanz;07.02.2025;0,0010049430;1.181,96;0,1499476543;151.493,51;0;EUR
Muster SCHWEIZ Substanz;08.02.2025;0,0000175682;20,68;0,1499681267;151.514,19;0;EUR
Muster SCHWEIZ Substanz;09.02.2025;0,0000175679;20,68;0,1499885991;151.534,87;0;EUR
Muster SCHWEIZ Substanz;10.02.2025;0,0040103685;4.721,68;0,1546582808;156.256,55;0;EUR
Muster SCHWEIZ Substanz;11.02.2025;-0,0026520830;-3.135,00;0,1515516238;153.121,55;0;EUR
Muster SCHWEIZ Substanz;12.02.2025;-0,0025708648;-3.030,93;0,1485481284;150.090,62;0;EUR
Muster SCHWEIZ Substanz;13.02.2025;0,0027692886;3.256,47;0,1517674246;153.347,09;0;EUR
Muster SCHWEIZ Substanz;14.02.2025;-0,0027139551;-3.171,74;0,1486271988;150.175,35;0;EUR
Muster SCHWEIZ Substanz;15.02.2025;0,0000087700;10,22;0,1486373150;150.185,57;0;EUR
Muster SCHWEIZ Substanz;16.02.2025;0,0000176746;20,60;0,1486577027;150.206,17;0;EUR
Muster SCHWEIZ Substanz;17.02.2025;0,0015916730;1.855,16;0,1504925683;152.061,32;0;EUR
Muster SCHWEIZ Substanz;18.02.2025;0,0030228802;3.528,89;0,1539838641;155.590,22;0;EUR
Muster SCHWEIZ Substanz;19.02.2025;-0,0012158132;-1.423,62;0,1525737643;154.166,59;0;EUR
Muster SCHWEIZ Substanz;20.02.2025;-0,0011730373;-1.371,87;0,1512149121;152.794,73;0;EUR
Muster SCHWEIZ Substanz;21.02.2025;0,0016302765;1.904,37;0,1530984208;154.699,10;0;EUR
