Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
ETF Muster 100/100 offensiv;11.09.2021;0;0;0,3794928751;38.349,39;0;EUR
ETF Muster 100/100 offensiv;12.09.2021;0;0;0,3794928751;38.349,39;0;EUR
ETF Muster 100/100 offensiv;13.09.2021;0,0000807424;11,17;0,3796060710;38.360,56;0,001651339;EUR
ETF Muster 100/100 offensiv;14.09.2021;0,0006948184;96,12;0,3805599456;38.456,68;-0,001908671;EUR
ETF Muster 100/100 offensiv;15.09.2021;-0,0014622592;-202,43;0,3785593731;38.254,25;0,001704413;EUR
ETF Muster 100/100 offensiv;16.09.2021;0,0003347872;46,28;0,3790200038;38.300,53;0,001412584;EUR
ETF Muster 100/100 offensiv;17.09.2021;-0,0031062509;-429,54;0,3747719452;37.870,99;-0,003401568;EUR
ETF Muster 100/100 offensiv;18.09.2021;0;0;0,3747719452;37.870,99;0;EUR
ETF Muster 100/100 offensiv;19.09.2021;0;0;0,3747719452;37.870,99;0;EUR
ETF Muster 100/100 offensiv;20.09.2021;-0,0107648583;-1.483,96;0,3600891832;36.387,03;-0,007146450;EUR
ETF Muster 100/100 offensiv;21.09.2021;0,0034996588;477,24;0,3648145567;36.864,28;0,000809549;EUR
ETF Muster 100/100 offensiv;22.09.2021;0,0046369581;634,55;0,3710967119;37.498,82;0,003596593;EUR
ETF Muster 100/100 offensiv;23.09.2021;0,0035212415;484,10;0,3758900906;37.982,92;0,003571767;EUR
ETF Muster 100/100 offensiv;24.09.2021;-0,0018403803;-253,91;0,3733799545;37.729,02;0,000664241;EUR
ETF Muster 100/100 offensiv;25.09.2021;0;0;0,3733799545;37.729,02;0;EUR
ETF Muster 100/100 offensiv;26.09.2021;0;0;0,3733799545;37.729,02;0;EUR
ETF Muster 100/100 offensiv;27.09.2021;-0,0038709427;-533,07;0,3681070755;37.195,95;-0,000840299;EUR
ETF Muster 100/100 offensiv;28.09.2021;-0,0146933751;-2.015,59;0,3481623023;35.180,35;-0,009338993;EUR
ETF Muster 100/100 offensiv;29.09.2021;0,0025075994;338,93;0,3515189645;35.519,28;0,002485211;EUR
ETF Muster 100/100 offensiv;30.09.2021;-0,0014661373;-198,66;0,3495553075;35.320,62;-0,002804293;EUR
ETF Muster 100/100 offensiv;01.10.2021;-0,0026324765;-356,18;0,3460327264;34.964,44;0,002814580;EUR
ETF Muster 100/100 offensiv;02.10.2021;0;0;0,3460327264;34.964,44;0;EUR
ETF Muster 100/100 offensiv;03.10.2021;0;0;0,3460327264;34.964,44;0;EUR
ETF Muster 100/100 offensiv;04.10.2021;-0,0069261055;-934,65;0,3367851219;34.029,80;-0,006155604;EUR
ETF Muster 100/100 offensiv;05.10.2021;0,0046376788;621,50;0,3429383237;34.651,30;0,004873107;EUR
ETF Muster 100/100 offensiv;06.10.2021;-0,0021829774;-293,90;0,3400319857;34.357,40;0,002017437;EUR
ETF Muster 100/100 offensiv;07.10.2021;0,0078359787;1.052,67;0,3504526090;35.410,07;0,004504630;EUR
ETF Muster 100/100 offensiv;08.10.2021;-0,0028766785;-389,48;0,3466003426;35.020,59;-0,001549688;EUR
ETF Muster 100/100 offensiv;09.10.2021;0;0;0,3466003426;35.020,59;0;EUR
ETF Muster 100/100 offensiv;10.10.2021;0;0;0,3466003426;35.020,59;0;EUR
ETF Muster 100/100 offensiv;11.10.2021;-0,0002979187;-40,22;0,3462046600;34.980,37;-0,002465640;EUR
ETF Muster 100/100 offensiv;12.10.2021;0,0010051856;135,66;0,3475496936;35.116,03;-0,000639759;EUR
ETF Muster 100/100 offensiv;13.10.2021;0,0039284609;530,72;0,3528047744;35.646,76;0,001676060;EUR
ETF Muster 100/100 offensiv;14.10.2021;0,0082880217;1.124,09;0,3639326237;36.770,85;0,007622758;EUR
ETF Muster 100/100 offensiv;15.10.2021;0,0034038436;465,48;0,3685421607;37.236,33;0,003287769;EUR
ETF Muster 100/100 offensiv;16.10.2021;0;0;0,3685421607;37.236,33;0;EUR
ETF Muster 100/100 offensiv;17.10.2021;0;0;0,3685421607;37.236,33;0;EUR
ETF Muster 100/100 offensiv;18.10.2021;-0,0001996988;-27,40;0,3682734579;37.208,93;0,000306967;EUR
ETF Muster 100/100 offensiv;19.10.2021;0,0044483316;610,27;0,3743160879;37.819,19;0,001153026;EUR
ETF Muster 100/100 offensiv;20.10.2021;0,0018763648;258,56;0,3768777849;38.077,76;0,001985364;EUR
ETF Muster 100/100 offensiv;21.10.2021;0,0027767407;383,35;0,3806746418;38.461,11;0,000257375;EUR
ETF Muster 100/100 offensiv;22.10.2021;0,0017794026;246,34;0,3831154678;38.707,45;-0,000238788;EUR
ETF Muster 100/100 offensiv;23.10.2021;0;0;0,3831154678;38.707,45;0;EUR
ETF Muster 100/100 offensiv;24.10.2021;0;0;0,3831154678;38.707,45;0;EUR
ETF Muster 100/100 offensiv;25.10.2021;0,0048814694;677,00;0,3898188996;39.384,46;0,003260366;EUR
ETF Muster 100/100 offensiv;26.10.2021;0,0017001918;236,95;0,3921668110;39.621,41;0,002058197;EUR
ETF Muster 100/100 offensiv;27.10.2021;-0,0028818271;-402,31;0,3881874211;39.219,10;-0,001827298;EUR
ETF Muster 100/100 offensiv;28.10.2021;0,0024473888;340,68;0,3915620529;39.559,77;0,000373308;EUR
ETF Muster 100/100 offensiv;29.10.2021;0,0051553321;719,38;0,3986851449;40.279,15;0,002710714;EUR
ETF Muster 100/100 offensiv;30.10.2021;0;0;0,3986851449;40.279,15;0;EUR
ETF Muster 100/100 offensiv;31.10.2021;0;0;0,3986851449;40.279,15;0;EUR
ETF Muster 100/100 offensiv;01.11.2021;0,0046996303;659,17;0,4052123812;40.938,32;0,001837173;EUR
ETF Muster 100/100 offensiv;02.11.2021;0,0017512626;246,79;0,4076578436;41.185,11;0,002696732;EUR
ETF Muster 100/100 offensiv;03.11.2021;0,0019163865;270,53;0,4103383405;41.455,64;0,002417707;EUR
ETF Muster 100/100 offensiv;04.11.2021;0,0088615051;1.253,34;0,4227470706;42.708,98;0,004789132;EUR
ETF Muster 100/100 offensiv;05.11.2021;-0,0015751695;-224,76;0,4205251250;42.484,22;0,001649615;EUR
ETF Muster 100/100 offensiv;06.11.2021;0;0;0,4205251250;42.484,22;0;EUR
ETF Muster 100/100 offensiv;07.11.2021;0;0;0,4205251250;42.484,22;0;EUR
ETF Muster 100/100 offensiv;08.11.2021;0,0017878344;254,70;0,4230491118;42.738,93;-0,000907338;EUR
ETF Muster 100/100 offensiv;09.11.2021;-0,0011365237;-162,20;0,4214463467;42.576,72;-0,000847985;EUR
ETF Muster 100/100 offensiv;10.11.2021;-0,0001107956;-15,79;0,4212928073;42.560,93;-0,001741179;EUR
ETF Muster 100/100 offensiv;11.11.2021;0,0055721005;794,26;0,4291576957;43.355,19;0,001755505;EUR
ETF Muster 100/100 offensiv;12.11.2021;0,0067605602;969,03;0,4387527338;44.324,22;0,005044216;EUR
ETF Muster 100/100 offensiv;13.11.2021;0;0;0,4387527338;44.324,22;0;EUR
ETF Muster 100/100 offensiv;14.11.2021;0;0;0,4387527338;44.324,22;0;EUR
ETF Muster 100/100 offensiv;15.11.2021;0,0030480206;439,85;0,4431095795;44.764,07;0,001258538;EUR
ETF Muster 100/100 offensiv;16.11.2021;0,0047988382;694,61;0,4499883394;45.458,67;0,003894009;EUR
