Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Risiko freier Zins
Muster SCHWEIZ Aktien;09.12.2024;0,0014956907;1.873,20;0,2694731076;268.674,46;0;0,02862000
Muster SCHWEIZ Aktien;10.12.2024;0,0004067482;510,17;0,2699900740;269.184,63;0;0,02872000
Muster SCHWEIZ Aktien;11.12.2024;0,0056505977;7.090,26;0,2771069438;276.274,89;0;0,02888000
Muster SCHWEIZ Aktien;12.12.2024;-0,0031658291;-3.994,86;0,2731053504;272.280,02;0;0,02886000
Muster SCHWEIZ Aktien;13.12.2024;-0,0037089240;-4.665,36;0,2684310399;267.614,66;0;0,02843000
Muster SCHWEIZ Aktien;14.12.2024;0;0;0,2684310399;267.614,66;0;0,02843000
Muster SCHWEIZ Aktien;15.12.2024;0;0;0,2684310399;267.614,66;0;0,02843000
Muster SCHWEIZ Aktien;16.12.2024;0,0003167417;396,94;0,2688343794;268.011,60;0;0,02863000
Muster SCHWEIZ Aktien;17.12.2024;0,0010950581;1.372,77;0,2702165599;269.384,37;0;0,02865000
Muster SCHWEIZ Aktien;18.12.2024;-0,0075358764;-9.457,37;0,2607349683;259.927,00;0;0,02852000
Muster SCHWEIZ Aktien;19.12.2024;-0,0056880657;-7.084,61;0,2536331770;252.842,39;0;0,02839000
Muster SCHWEIZ Aktien;20.12.2024;0,0010777814;1.334,76;0,2549769685;254.177,16;0;0,02772000
Muster SCHWEIZ Aktien;21.12.2024;0;0;0,2549769685;254.177,16;0;0,02772000
Muster SCHWEIZ Aktien;22.12.2024;0;0;0,2549769685;254.177,16;0;0,02772000
Muster SCHWEIZ Aktien;23.12.2024;0,0060832895;7.541,89;0,2625475736;261.719,05;0;0,02731000
Muster SCHWEIZ Aktien;24.12.2024;0,0041696316;5.200,84;0,2677699401;266.919,89;0;0,02715000
Muster SCHWEIZ Aktien;25.12.2024;-0,0003765039;-471,58;0,2673018974;266.448,31;0;0,02715000
Muster SCHWEIZ Aktien;26.12.2024;-0,0007984343;-999,67;0,2663040208;265.448,64;0;0,02715000
Muster SCHWEIZ Aktien;27.12.2024;-0,0034621573;-4.331,31;0,2619636558;261.117,33;0;0,02683000
Muster SCHWEIZ Aktien;28.12.2024;0;0;0,2619636558;261.117,33;0;0,02683000
Muster SCHWEIZ Aktien;29.12.2024;0;0;0,2619636558;261.117,33;0;0,02683000
Muster SCHWEIZ Aktien;30.12.2024;-0,0054647534;-6.812,98;0,2551333565;254.304,35;0;0,02678000
Muster SCHWEIZ Aktien;31.12.2024;0,0024655309;3.057,01;0,2582051328;257.361,36;0;0,02714000
Muster SCHWEIZ Aktien;01.01.2025;-0,0001295389;-161,01;0,2580483754;257.200,35;0;0,02714000
Muster SCHWEIZ Aktien;02.01.2025;0,0086824927;10.790,56;0,2688794820;267.990,91;0;0,02736000
Muster SCHWEIZ Aktien;03.01.2025;0,0022589385;2.831,77;0,2717256470;270.822,69;0;0,02731000
Muster SCHWEIZ Aktien;04.01.2025;0;0;0,2717256470;270.822,69;0;0,02731000
Muster SCHWEIZ Aktien;05.01.2025;0;0;0,2717256470;270.822,69;0;0,02731000
Muster SCHWEIZ Aktien;06.01.2025;0,0024117072;3.030,11;0,2747709031;273.852,80;0;0,02757000
Muster SCHWEIZ Aktien;07.01.2025;0,0003643220;458,84;0,2752363195;274.311,64;0;0,02785000
Muster SCHWEIZ Aktien;08.01.2025;0,0004486988;565,32;0,2758085712;274.876,96;0;0,02782000
Muster SCHWEIZ Aktien;09.01.2025;0,0027369695;3.449,87;0,2792752111;278.326,84;0;0,02789000
Muster SCHWEIZ Aktien;10.01.2025;-0,0097590827;-12.334,72;0,2669032958;265.992,12;0;0,02766000
Muster SCHWEIZ Aktien;11.01.2025;0;0;0,2669032958;265.992,12;0;0,02766000
Muster SCHWEIZ Aktien;12.01.2025;0;0;0,2669032958;265.992,12;0;0,02766000
Muster SCHWEIZ Aktien;13.01.2025;-0,0034688517;-4.341,57;0,2625515919;261.650,55;0;0,02785000
Muster SCHWEIZ Aktien;14.01.2025;-0,0013400521;-1.671,37;0,2608791556;259.979,17;0;0,02761000
Muster SCHWEIZ Aktien;15.01.2025;0,0117798509;14.672,68;0,2756075710;274.651,85;0;0,02748000
Muster SCHWEIZ Aktien;16.01.2025;0,0050610971;6.378,23;0,2820130391;281.030,09;0;0,02744000
Muster SCHWEIZ Aktien;17.01.2025;0,0079199618;10.031,62;0,2920849541;291.061,71;0;0,02704000
Muster SCHWEIZ Aktien;18.01.2025;0;0;0,2920849541;291.061,71;0;0,02704000
Muster SCHWEIZ Aktien;19.01.2025;0;0;0,2920849541;291.061,71;0;0,02704000
Muster SCHWEIZ Aktien;20.01.2025;-0,0078424218;-10.012,08;0,2820426833;281.049,63;0;0,02677000
Muster SCHWEIZ Aktien;21.01.2025;0,0013166026;1.667,67;0,2837212662;282.717,29;0;0,02681000
Muster SCHWEIZ Aktien;22.01.2025;0,0065674475;8.329,58;0,2920855751;291.046,87;0;0,02671000
Muster SCHWEIZ Aktien;23.01.2025;-0,0003714007;-474,15;0,2916148663;290.572,72;0;0,02673000
Muster SCHWEIZ Aktien;24.01.2025;-0,0054680798;-6.978,19;0,2846166413;283.594,54;0;0,02641000
Muster SCHWEIZ Aktien;25.01.2025;0;0;0,2846166413;283.594,54;0;0,02641000
Muster SCHWEIZ Aktien;26.01.2025;0;0;0,2846166413;283.594,54;0;0,02641000
Muster SCHWEIZ Aktien;27.01.2025;-0,0076251385;-9.677,75;0,2749088188;273.916,79;0;0,02641000
Muster SCHWEIZ Aktien;28.01.2025;0,0053943187;6.794,21;0,2817325417;280.711,00;0;0,02615000
Muster SCHWEIZ Aktien;29.01.2025;0,0057275802;7.252,87;0,2890168245;287.963,87;0;0,02612000
Muster SCHWEIZ Aktien;30.01.2025;0,0074115261;9.439,02;0,2984955214;297.402,88;0;0,02606000
Muster SCHWEIZ Aktien;31.01.2025;0,0017346415;2.225,54;0,3007344285;299.628,43;0;0,02589000
Muster SCHWEIZ Aktien;01.02.2025;0;0;0,3007344285;299.628,43;0;0,02589000
Muster SCHWEIZ Aktien;02.02.2025;0;0;0,3007344285;299.628,43;0;0,02589000
Muster SCHWEIZ Aktien;03.02.2025;-0,0038188412;-4.908,06;0,2958133346;294.720,36;0;0,02562000
Muster SCHWEIZ Aktien;04.02.2025;-0,0065116897;-8.337,02;0,2874503276;286.383,34;0;0,02541000
Muster SCHWEIZ Aktien;05.02.2025;0,0021862694;2.780,89;0,2902465365;289.164,23;0;0,02529000
Muster SCHWEIZ Aktien;06.02.2025;0,0009321804;1.188,31;0,2914442551;290.352,54;0;0,02535000
Muster SCHWEIZ Aktien;07.02.2025;-0,0022768946;-2.905,20;0,2885330333;287.447,34;0;0,02527000
Muster SCHWEIZ Aktien;08.02.2025;0;0;0,2885330333;287.447,34;0;0,02527000
Muster SCHWEIZ Aktien;09.02.2025;0;0;0,2885330333;287.447,34;0;0,02527000
Muster SCHWEIZ Aktien;10.02.2025;0,0064076945;8.157,27;0,2967261341;295.604,61;0;0,02526000
Muster SCHWEIZ Aktien;11.02.2025;-0,0023691729;-3.035,38;0,2936841903;292.569,22;0;0,02539000
Muster SCHWEIZ Aktien;12.02.2025;0,0003272214;418,24;0,2941089747;292.987,47;0;0,02553000
Muster SCHWEIZ Aktien;13.02.2025;0,0068238666;8.724,88;0,3028723284;301.712,34;0;0,02556000
Muster SCHWEIZ Aktien;14.02.2025;-0,0100927045;-12.877,00;0,2899559054;288.835,34;0;0,02522000
Muster SCHWEIZ Aktien;15.02.2025;0;0;0,2899559054;288.835,34;0;0,02522000
Muster SCHWEIZ Aktien;16.02.2025;0;0;0,2899559054;288.835,34;0;0,02522000
Muster SCHWEIZ Aktien;17.02.2025;0,0028299139;3.574,17;0,2935541226;292.409,51;0;0,02510000
Muster SCHWEIZ Aktien;18.02.2025;0,0065751483;8.327,88;0,3019250451;300.737,39;0;0,02516000
Muster SCHWEIZ Aktien;19.02.2025;0,0031834598;4.058,59;0,3060102067;304.795,98;0;0,02529000
Muster SCHWEIZ Aktien;20.02.2025;-0,0033592012;-4.296,27;0,3017071885;300.499,70;0;0,02534000
Muster SCHWEIZ Aktien;21.02.2025;-0,0007372729;-939,77;0,3007739442;299.559,93;0;0,02521000
Muster SCHWEIZ Aktien;22.02.2025;0;0;0,3007739442;299.559,93;0;0,02521000
Muster SCHWEIZ Aktien;23.02.2025;0;0;0,3007739442;299.559,93;0;0,02521000
Muster SCHWEIZ Aktien;24.02.2025;-0,0008322238;-1.060,02;0,2997198644;298.499,91;0;0,02521000
Muster SCHWEIZ Aktien;25.02.2025;-0,0063235915;-8.047,78;0,2916491211;290.452,13;0;0,02530000
Muster SCHWEIZ Aktien;26.02.2025;0,0025151510;3.180,69;0,2948529281;293.632,82;0;0,02499000
Muster SCHWEIZ Aktien;27.02.2025;-0,0040014270;-5.072,98;0,2897686731;288.559,84;0;0,02485000
Muster SCHWEIZ Aktien;28.02.2025;0,0079812067;10.078,03;0,2998990382;298.637,87;0;0,02464000
Muster SCHWEIZ Aktien;01.03.2025;0;0;0,2998990382;298.637,87;0;0,02464000
Muster SCHWEIZ Aktien;02.03.2025;0;0;0,2998990382;298.637,87;0;0,02464000
Muster SCHWEIZ Aktien;03.03.2025;-0,0090244534;-11.486,31;0,2883739227;287.151,56;0;0,02464000
Muster SCHWEIZ Aktien;04.03.2025;-0,0149200965;-18.818,89;0,2694839565;268.332,67;0;0,02491000
Muster SCHWEIZ Aktien;05.03.2025;0,0000170878;21,23;0,2695142880;268.353,90;0;0,02504000
Muster SCHWEIZ Aktien;06.03.2025;0,0021694007;2.695,51;0,2722305264;271.049,41;0;0,02511000
Muster SCHWEIZ Aktien;07.03.2025;0,0023066917;2.872,31;0,2751244977;273.921,73;0;0,02529000
Muster SCHWEIZ Aktien;08.03.2025;0;0;0,2751244977;273.921,73;0;0,02529000
Muster SCHWEIZ Aktien;09.03.2025;0;0;0,2751244977;273.921,73;0;0,02529000
Muster SCHWEIZ Aktien;10.03.2025;-0,0097361108;-12.151,46;0,2629283867;261.770,26;0;0,02547000
Muster SCHWEIZ Aktien;11.03.2025;-0,0170340294;-21.052,87;0,2417903540;240.717,39;0;0,02553000
Muster SCHWEIZ Aktien;12.03.2025;0,0056742874;6.893,56;0,2487228337;247.610,95;0;0,02527000
Muster SCHWEIZ Aktien;13.03.2025;-0,0008407392;-1.027,19;0,2476991603;246.583,76;0;0,02501000
Muster SCHWEIZ Aktien;14.03.2025;0,0058784415;7.176,07;0,2549160339;253.759,83;0;0,02478000
Muster SCHWEIZ Aktien;15.03.2025;0;0;0,2549160339;253.759,83;0;0,02478000
Muster SCHWEIZ Aktien;16.03.2025;0;0;0,2549160339;253.759,83;0;0,02478000
Muster SCHWEIZ Aktien;17.03.2025;0,0047414522;5.822,12;0,2607731924;259.581,96;0;0,02456000
Muster SCHWEIZ Aktien;18.03.2025;-0,0035107569;-4.331,37;0,2564302875;255.250,59;0;0,02426000
Muster SCHWEIZ Aktien;19.03.2025;0,0045300923;5.569,34;0,2620338689;260.819,93;0;0,02411000
Muster SCHWEIZ Aktien;20.03.2025;0,0025569797;3.157,82;0,2652149598;263.977,75;0;0,02387000
Muster SCHWEIZ Aktien;21.03.2025;-0,0021955822;-2.718,43;0,2624922466;261.259,32;0;0,02386000
Muster SCHWEIZ Aktien;22.03.2025;0;0;0,2624922466;261.259,32;0;0,02386000
Muster SCHWEIZ Aktien;23.03.2025;0;0;0,2624922466;261.259,32;0;0,02386000
Muster SCHWEIZ Aktien;24.03.2025;0,0066175361;8.175,43;0,2707149608;269.434,75;0;0,02367000
Muster SCHWEIZ Aktien;25.03.2025;0,0025609762;3.184,82;0,2739236871;272.619,57;0;0,02365000
Muster SCHWEIZ Aktien;26.03.2025;-0,0022170619;-2.764,19;0,2711549385;269.855,38;0;0,02369000
Muster SCHWEIZ Aktien;27.03.2025;-0,0038525959;-4.792,69;0,2663476521;265.062,69;0;0,02355000
